,speed,co_emission,co2_emission,nox_emission,fuel_consumption
!0,9.5666,16.0691,2816.9672,0.9329,924.5394
!1,9.4115,19.7132,3320.2724,1.1214,1089.1813
!2,10.4555,22.8681,3637.6263,1.2244,1181.5827
!3,13.1371,26.0142,3522.2025,1.2231,1133.6296
!4,10.4032,17.0708,2730.5286,0.9303,885.3823
!5,12.4405,66.4163,5977.0667,2.3305,1942.6726
!6,17.275,67.5763,5474.8475,2.1371,1773.0663
!7,10.4049,14.3444,2751.7439,0.9071,885.3599
!8,9.2718,15.7067,3062.5303,0.9977,1002.3286
!9,8.9347,11.6121,2607.4443,0.8703,843.2782
!10,8.6968,18.3441,3401.8315,1.0835,1079.1175
!11,14.1849,78.6741,6553.4195,2.537,2133.5705
!12,9.6413,14.6236,2731.945,0.9011,898.0762
!13,11.0178,35.093,4525.1338,1.5807,1473.1995
!14,7.7143,12.4405,2811.3177,0.8839,896.694
!15,9.2644,13.7337,2651.7156,0.8641,852.1327
!16,7.7321,11.7057,2662.0678,0.8506,852.6544
!17,8.9839,21.9357,3832.2639,1.2461,1214.2105
!18,8.6839,19.0231,3445.7637,1.1023,1110.8521
!19,11.7632,30.233,3873.7508,1.3327,1243.0398
!20,9.4928,9.3681,2239.7966,0.722,739.9776
!21,16.4212,90.3243,7078.8055,2.7732,2294.6365
!22,9.4449,16.4025,3083.0189,1.0181,991.4503
!23,8.3162,18.2341,3657.9277,1.1656,1192.586
!24,8.3976,16.7562,3438.7883,1.0835,1097.7515
!25,8.2172,13.7657,2908.3416,0.9408,942.3731
!26,9.1757,14.548,2586.6382,0.8468,856.0947
!27,12.5305,12.3475,2112.0284,0.778,670.5103
!28,12.0895,24.346,3179.4894,1.1054,1028.8087
!29,15.4314,78.2017,6177.7509,2.4608,2017.0257
!30,17.6464,112.1954,7704.3778,3.1822,2489.7583
!31,10.9522,21.0179,2887.3285,0.994,937.9804
!32,8.5911,9.7302,2051.5854,0.6588,657.5367
!33,13.6607,28.1166,3512.7501,1.2484,1142.0694
!34,15.1546,64.4205,5627.8263,2.1494,1818.0299
!35,15.4611,70.9562,6049.8887,2.3193,1977.4183
!36,11.6887,23.5276,3526.908,1.1908,1152.1057
!37,11.5062,26.4119,3551.4747,1.2433,1157.5512
!38,18.8315,118.0324,7934.9089,3.2985,2605.3697
!39,8.7717,13.881,2764.3977,0.8993,901.2206
!40,11.2852,17.0584,2693.9606,0.9341,873.5659
!41,9.8434,21.2149,3506.4567,1.1829,1168.1204
!42,10.5042,21.0607,3074.1728,1.0404,991.4635
!43,16.0564,69.7413,5694.5448,2.262,1849.5989
!44,10.1431,31.9989,4557.614,1.5207,1493.5708
!45,11.1195,32.9962,4488.7162,1.5251,1472.1199
!46,9.3725,12.8787,2226.5536,0.729,705.6344
!47,9.3944,13.4025,2625.3764,0.8727,853.7841
!48,14.475,56.1205,5128.6206,1.9156,1671.8265
