,congestion_score,rank,status
!257,1611.025,1,HIGH
!288,1489.9829,2,HIGH
!336,1466.2596,3,HIGH
!289,1308.2497,4,HIGH
!314,1306.2843,5,HIGH
!38,1302.9126,6,HIGH
!170,1299.653,7,HIGH
!166,1277.671,8,HIGH
!30,1272.4371,9,HIGH
!243,1267.9719,10,HIGH
!258,1261.775,11,HIGH
!204,1233.5922,12,HIGH
!344,1209.8279,13,HIGH
!151,1164.5255,14,HIGH
!167,1159.7062,15,HIGH
!21,1154.8893,16,HIGH
!210,1152.877,17,HIGH
!180,1149.3302,18,HIGH
!270,1121.2155,19,HIGH
!157,1117.8047,20,HIGH
!227,1114.1824,21,HIGH
!300,1112.7531,22,HIGH
!77,1107.8184,23,HIGH
!95,1097.6865,24,HIGH
!124,1088.3221,25,HIGH
!196,1087.4378,26,HIGH
!141,1086.8436,27,HIGH
!73,1079.5157,28,HIGH
!79,1079.039,29,HIGH
!337,1074.4113,30,HIGH
!99,1071.0726,31,HIGH
!85,1068.7838,32,HIGH
!278,1067.7957,33,HIGH
!59,1063.612,34,HIGH
!331,1058.996,35,HIGH
!11,1057.5393,36,HIGH
!184,1051.4448,37,HIGH
!143,1050.7295,38,HIGH
!138,1035.0151,39,HIGH
!207,1034.5828,40,HIGH
!212,1027.7801,41,HIGH
!273,1024.738,42,HIGH
!298,1019.9676,43,HIGH
!262,1018.4142,44,HIGH
!306,1017.6244,45,HIGH
!126,1015.3951,46,HIGH
!29,1010.4652,47,HIGH
!164,1009.0798,48,HIGH
!122,1008.3422,49,HIGH
!271,1007.133,50,HIGH
!168,1003.6123,51,HIGH
!5,1001.978,52,HIGH
!35,990.9713,53,HIGH
!112,989.5329,54,HIGH
!332,981.7777,55,HIGH
!154,981.1483,56,HIGH
!52,971.8931,57,HIGH
!58,970.4368,58,HIGH
!101,966.9752,59,HIGH
!56,956.8189,60,HIGH
!245,952.828,61,HIGH
!333,947.5757,62,HIGH
!334,941.1758,63,HIGH
!43,933.2319,64,HIGH
!34,923.5339,65,HIGH
!324,918.4869,66,HIGH
!235,917.9953,67,HIGH
!317,914.9871,68,HIGH
!183,906.5851,69,HIGH
!62,906.0717,70,HIGH
!67,903.5465,71,HIGH
!316,902.1998,72,HIGH
!279,901.4405,73,HIGH
!318,898.0546,74,HIGH
!6,895.5655,75,HIGH
!64,894.1414,76,HIGH
!131,887.1668,77,HIGH
!71,885.8402,78,HIGH
!63,874.4207,79,HIGH
!240,870.4113,80,HIGH
