,score,rank
610,34.5029,1
595,32.6062,2
102,32.0527,3
612,31.7558,4
609,29.8038,5
611,29.6728,6
807,29.551,7
714,29.3379,8
36,29.0735,9
505,28.8656,10
138,28.7539,11
466,28.479,12
227,28.3491,13
1126,28.2795,14
408,28.2774,15
465,27.7988,16
1133,27.596,17
582,27.2602,18
139,26.7925,19
419,26.7658,20
649,26.6892,21
38,26.664,22
41,26.6439,23
580,26.427,24
44,26.1358,25
713,25.9396,26
81,25.8993,27
412,25.7563,28
616,25.6731,29
39,25.4101,30
410,25.3946,31
422,25.3805,32
583,25.3744,33
270,25.2874,34
447,25.1223,35
428,24.9854,36
413,24.9052,37
429,24.8745,38
421,24.8704,39
40,24.8214,40
407,24.6498,41
43,24.6209,42
458,24.5338,43
451,24.5273,44
615,24.4316,45
84,24.2693,46
212,24.1603,47
636,23.9714,48
135,23.859,49
136,23.8541,50
204,23.8272,51
445,23.8104,52
42,23.6013,53
453,23.5603,54
452,23.5234,55
608,23.4174,56
520,23.4053,57
37,23.0177,58
446,22.7626,59
921,22.5165,60
1081,22.4902,61
51,22.4356,62
414,22.1553,63
423,22.1544,64
455,22.1387,65
889,22.0897,66
27,22.0706,67
99,22.0385,68
255,21.641,69
1134,21.4978,70
409,21.4589,71
457,21.3266,72
335,21.2158,73
101,21.199,74
448,21.131,75
98,21.0781,76
1127,20.928,77
1054,20.8916,78
467,20.8003,79
821,20.6915,80
594,20.6044,81
581,20.3627,82
579,20.3627,83
113,20.3503,84
34,20.3349,85
912,20.2453,86
470,20.1776,87
214,20.1634,88
278,20.1632,89
469,20.0151,90
450,19.9612,91
388,19.9173,92
1295,19.8926,93
815,19.8246,94
215,19.8193,95
100,19.793,96
75,19.7649,97
110,19.7213,98
933,19.6452,99
578,19.5778,100
607,19.5572,101
468,19.5432,102
577,19.5249,103
705,19.4941,104
711,19.4701,105
243,19.4644,106
237,19.4554,107
1116,19.3897,108
273,19.3761,109
456,19.3413,110
809,19.2405,111
646,19.2197,112
707,19.2088,113
638,19.1979,114
567,19.1977,115
898,19.187,116
706,19.1648,117
430,19.1498,118
934,19.1457,119
637,19.1435,120
108,19.1217,121
277,19.1005,122
568,19.0822,123
230,18.9537,124
569,18.9442,125
504,18.8793,126
499,18.8709,127
797,18.8656,128
506,18.8383,129
200,18.8153,130
60,18.8056,131
535,18.7947,132
341,18.6201,133
96,18.6155,134
175,18.6134,135
985,18.6092,136
647,18.5937,137
271,18.5765,138
624,18.542,139
1240,18.5112,140
62,18.5003,141
118,18.4894,142
398,18.4735,143
35,18.4398,144
493,18.4353,145
156,18.435,146
477,18.4241,147
887,18.4191,148
76,18.403,149
454,18.3629,150
825,18.3256,151
1090,18.3001,152
169,18.2822,153
103,18.2618,154
71,18.2495,155
