vehicle_id,route_id,time_step,speed,co_emission,co2_emission,nox_emission,fuel_consumption
0,!0,0,14.0101,7.9437,1972.988,0.7875,683.0803
0,!0,1,14.3513,18.3738,3044.3324,1.0511,951.1232
0,!0,2,14.2048,5.7987,1825.2814,0.675,596.5881
0,!0,3,14.1951,34.2629,4223.506,1.5871,1321.606
0,!0,4,14.1436,0.0011,0.0013,-0.0008,-0.0
0,!0,5,13.8808,-0.0008,-0.0002,-0.0002,0.0003
0,!0,6,14.612,16.1063,2954.4122,1.0894,934.4674
0,!0,7,13.4394,6.0583,1806.8165,0.6793,627.223
0,!0,8,9.3181,-0.0,0.0009,-0.0002,-0.0004
0,!0,9,5.998,0.0006,-0.0005,0.0003,0.0003
0,!0,10,7.8764,26.1265,5875.5853,1.7505,1943.9552
1,!1,10,10.4228,3.3534,1936.4328,0.6867,605.0871
0,!0,11,9.9336,37.6164,6261.5402,1.9955,2148.2341
1,!1,11,11.4009,21.3042,3857.7057,1.293,1246.9326
0,!0,12,12.2372,56.0635,7283.1403,2.4266,2295.3215
1,!1,12,6.9495,-0.0002,-0.0008,-0.0,0.0004
0,!0,13,9.9247,0.0009,0.0006,-0.0001,0.0003
1,!1,13,5.916,0.0,0.0006,0.0006,0.0007
0,!0,14,5.3975,-0.0016,-0.0018,0.0002,0.0002
1,!1,14,6.4407,3.2941,2138.1773,0.7475,707.7598
0,!0,15,5.7487,2.3783,2068.4112,0.7222,697.989
1,!1,15,6.7965,2.3118,1926.2702,0.6889,619.9841
0,!0,16,5.183,-0.0004,-0.0001,-0.0008,0.0006
1,!1,16,8.0554,25.9539,5547.3989,1.6741,1778.8757
0,!0,17,4.9899,-0.0004,0.0004,-0.0,0.0002
1,!1,17,10.8185,44.3658,6819.2122,2.2387,2159.9131
0,!0,18,5.7631,6.0338,3144.8365,0.9023,993.2474
1,!1,18,12.4092,49.3994,6400.3242,2.2625,2052.2409
0,!0,19,3.897,0.0003,-0.0009,-0.0008,-0.0005
1,!1,19,11.575,-0.0001,-0.0,0.0002,-0.0004
0,!0,20,3.2049,-0.0001,-0.0009,0.0003,0.0006
1,!1,20,7.8515,-0.0007,-0.0002,-0.0014,0.0005
2,!2,20,8.3388,1.7657,1715.2364,0.6396,583.2547
0,!0,21,2.6795,0.0005,-0.001,-0.0002,0.0006
1,!1,21,7.3979,-0.0002,0.0004,0.0005,-0.0007
2,!2,21,7.3305,-0.0001,0.0005,-0.0006,-0.0005
0,!0,22,4.7582,10.3209,4990.9101,1.2692,1589.8166
1,!1,22,6.9362,0.0,1432.8566,0.5802,468.7263
2,!2,22,7.8752,9.2234,3115.1916,0.96,959.5591
1,!1,23,7.5628,2.6025,1929.7909,0.7189,609.4373
2,!2,23,8.2385,5.0505,2256.7248,0.8161,732.1114
1,!1,24,9.5684,46.2567,7227.5241,2.4382,2557.3661
2,!2,24,10.4815,54.1057,7544.8378,2.4972,2510.7685
1,!1,25,11.2492,43.8625,6127.4691,2.0607,2032.7631
2,!2,25,12.7463,89.5264,10105.5076,3.3685,2929.3495
1,!1,26,11.5946,19.2894,3406.9833,1.1682,1140.2143
2,!2,26,13.9198,33.3969,4265.6444,1.6158,1371.3469
1,!1,27,10.1119,-0.0005,-0.0004,-0.0003,0.0002
2,!2,27,12.4253,-0.0007,-0.0007,-0.0,0.0009
1,!1,28,6.9331,0.0001,-0.0004,0.0002,-0.0007
2,!2,28,13.0074,0.8483,1486.4054,0.5144,430.385
1,!1,29,6.1165,0.0,0.0001,0.0,-0.0002
2,!2,29,9.4093,0.0006,0.0004,0.0006,0.0003
1,!1,30,5.6657,0.0013,0.0006,-0.0007,-0.0007
2,!2,30,5.2897,0.0002,-0.0005,-0.0008,0.0004
3,!3,30,14.4664,8.1904,2014.2736,0.7643,653.5254
1,!1,31,6.0486,3.2917,2331.9309,0.7949,763.9074
2,!2,31,6.8901,15.4505,4702.9818,1.309,1453.7128
3,!3,31,14.974,32.7895,4074.6115,1.5367,1371.5132
1,!1,32,7.4866,16.4482,4587.3371,1.379,1505.3218
2,!2,32,7.9877,10.551,3256.9719,1.0378,1081.8781
3,!3,32,14.2674,0.0001,-0.0005,0.0015,0.0002
1,!1,33,5.1341,-0.0003,-0.0005,-0.0007,-0.0004
2,!2,33,7.4311,-0.0001,0.001,0.0003,-0.0005
3,!3,33,14.5428,9.1299,2092.9687,0.7876,674.2921
1,!1,34,4.8355,-0.0006,-0.0003,-0.0003,0.0006
2,!2,34,4.8625,-0.0007,-0.0008,-0.0002,0.0003
3,!3,34,14.2515,26.7234,3625.3121,1.3117,1141.9001
1,!1,35,5.3887,1.9719,1969.8786,0.6883,674.3169
2,!2,35,5.5952,3.7706,2588.3981,0.7757,815.8323
3,!3,35,13.6786,0.0,-0.0009,0.0001,0.0003
1,!1,36,6.8994,15.1589,4316.678,1.3645,1486.3796
2,!2,36,6.5317,7.999,3221.3324,1.0031,1067.3073
3,!3,36,15.5514,51.6557,5883.8578,2.0619,1884.9694
1,!1,37,9.1311,38.5972,7036.8275,2.1075,2259.7717
2,!2,37,8.379,35.0311,7040.1535,2.0286,2276.2535
3,!3,37,14.5393,-0.0008,-0.0006,0.0004,0.0003
1,!1,38,11.4283,72.9933,8852.1823,2.9504,2965.8193
2,!2,38,10.4699,38.6483,5871.1609,1.8989,1955.0489
3,!3,38,13.2588,0.0004,0.0003,0.0,-0.0006
1,!1,39,12.691,40.1671,5109.1167,1.7763,1755.9875
2,!2,39,13.2635,84.5124,9641.704,3.3423,3190.5094
3,!3,39,14.6606,14.039,2438.4709,0.8924,799.4521
1,!1,40,13.2413,7.3821,2157.6441,0.7592,660.2922
2,!2,40,13.3248,25.5764,3618.2163,1.2758,1160.5987
3,!3,40,10.9448,-0.0004,0.0001,0.0008,-0.0005
4,!4,40,14.7811,8.6482,2103.568,0.7516,659.0961
1,!1,41,11.4975,-0.0003,-0.0007,-0.0004,-0.0001
2,!2,41,12.8279,0.0003,0.0007,0.0004,0.0002
3,!3,41,6.731,-0.0001,0.0005,-0.0004,0.0002
4,!4,41,13.064,0.0003,-0.0002,0.0002,0.0007
1,!1,42,12.61,35.6677,4787.1056,1.6535,1528.1875
2,!2,42,13.6327,0.9286,1461.9782,0.5262,450.7376
3,!3,42,8.2997,26.3449,5359.5999,1.7024,1789.9277
4,!4,42,13.9826,51.9529,6266.7758,2.08,1847.3474
2,!2,43,12.9299,-0.0002,1298.2125,0.479,398.957
3,!3,43,10.3007,43.9712,6676.6044,2.1911,2213.3503
4,!4,43,13.5282,0.0094,1343.0661,0.487,436.3409
2,!2,44,12.7995,17.4512,3030.3449,1.0673,988.9089
3,!3,44,11.6621,35.8305,5279.704,1.7413,1627.5341
4,!4,44,13.2216,-0.0001,-0.0013,0.0006,-0.0008
2,!2,45,12.6279,5.1914,1823.5562,0.6758,582.8056
3,!3,45,12.6349,19.526,3447.2423,1.2069,1127.475
4,!4,45,13.5472,24.1509,3507.7889,1.2498,1228.4997
2,!2,46,13.4336,24.0282,3377.4533,1.2107,1142.9161
3,!3,46,14.0513,112.1387,10874.3514,3.8825,3497.933
4,!4,46,13.3684,0.0003,-0.0004,-0.0003,0.0003
2,!2,47,13.1878,0.9769,1456.9755,0.5231,439.7889
3,!3,47,14.4578,-0.0021,0.0002,0.0003,-0.0004
4,!4,47,14.0785,-0.0005,0.0003,0.0003,-0.0001
2,!2,48,13.1175,6.0044,1875.7598,0.7083,633.827
3,!3,48,14.892,38.5329,4139.8977,1.7201,1538.8293
4,!4,48,12.0643,-0.0001,-0.0005,-0.0005,0.0
2,!2,49,13.3247,13.8422,2583.4855,0.9756,876.034
3,!3,49,14.3273,0.0001,0.0001,-0.0001,0.0006
4,!4,49,8.09,-0.0008,0.0003,-0.0003,0.0005
2,!2,50,10.8773,0.0003,-0.0006,-0.0001,-0.0004
3,!3,50,14.7948,21.2707,3199.0069,1.1819,1025.5943
4,!4,50,6.517,0.0007,-0.0008,0.0004,0.0003
5,!5,50,11.7507,4.6328,1888.8777,0.6895,593.9584
2,!2,51,6.4555,-0.0002,0.0001,-0.0003,0.0002
3,!3,51,14.4693,-0.0004,0.0011,-0.0002,0.0004
4,!4,51,6.1694,0.5724,1638.7999,0.6195,522.5729
5,!5,51,11.3441,0.0005,0.0002,-0.0004,0.0003
2,!2,52,5.3831,0.0001,-0.0005,-0.0008,-0.0002
