,FAHP_score,FAHP_rank,entropy_score,entropy_rank
!257,1611.025,1,2376.3403,1
!288,1489.9829,2,2173.5943,2
!336,1466.2596,3,2152.7824,3
!289,1308.2497,4,1922.9292,4
!314,1306.2843,5,1921.4009,5
!38,1302.9126,6,1907.6841,7
!170,1299.653,7,1908.2772,6
!166,1277.671,8,1872.1364,8
!30,1272.4371,9,1867.32,9
!243,1267.9719,10,1865.3536,10
!258,1261.775,11,1848.7363,11
!204,1233.5922,12,1806.1323,12
!344,1209.8279,13,1781.7458,13
!151,1164.5255,14,1713.0053,14
!167,1159.7062,15,1696.9262,15
!21,1154.8893,16,1691.7843,16
!210,1152.877,17,1679.9604,18
!180,1149.3302,18,1681.7074,17
!270,1121.2155,19,1636.1755,20
!157,1117.8047,20,1636.7793,19
!227,1114.1824,21,1636.045,21
!300,1112.7531,22,1633.1396,22
!77,1107.8184,23,1625.7133,23
!95,1097.6865,24,1618.0913,24
!124,1088.3221,25,1591.7773,27
!196,1087.4378,26,1593.6641,25
!141,1086.8436,27,1591.949,26
!73,1079.5157,28,1585.1925,28
!79,1079.039,29,1578.394,29
!337,1074.4113,30,1569.1672,30
!99,1071.0726,31,1564.0148,33
!85,1068.7838,32,1567.6272,31
!278,1067.7957,33,1566.0786,32
!59,1063.612,34,1558.5947,34
!331,1058.996,35,1552.5917,35
!11,1057.5393,36,1549.7886,36
!184,1051.4448,37,1539.3144,38
!143,1050.7295,38,1539.5985,37
!138,1035.0151,39,1516.5775,40
!207,1034.5828,40,1518.6554,39
!212,1027.7801,41,1499.6043,42
!273,1024.738,42,1502.0867,41
!298,1019.9676,43,1492.8243,43
!262,1018.4142,44,1488.952,45
!306,1017.6244,45,1489.1004,44
!126,1015.3951,46,1486.2218,46
!29,1010.4652,47,1481.5924,47
!164,1009.0798,48,1479.5757,49
!122,1008.3422,49,1479.631,48
!271,1007.133,50,1470.1704,51
!168,1003.6123,51,1470.1941,50
!5,1001.978,52,1465.9223,52
!35,990.9713,53,1452.5953,53
!112,989.5329,54,1451.3277,54
!332,981.7777,55,1438.4385,55
!154,981.1483,56,1433.1175,56
!52,971.8931,57,1418.9385,57
!58,970.4368,58,1415.0727,59
!101,966.9752,59,1415.6762,58
!56,956.8189,60,1403.6753,60
!245,952.828,61,1391.1337,61
!333,947.5757,62,1385.4358,62
!334,941.1758,63,1378.4326,63
!43,933.2319,64,1368.0709,64
!34,923.5339,65,1353.7737,65
!324,918.4869,66,1347.5489,66
!235,917.9953,67,1345.3694,67
!317,914.9871,68,1339.3807,68
!183,906.5851,69,1326.1722,69
!62,906.0717,70,1325.3957,70
!67,903.5465,71,1324.2358,71
!316,902.1998,72,1320.3354,73
!279,901.4405,73,1321.1748,72
!318,898.0546,74,1319.2198,74
!6,895.5655,75,1308.28,75
!64,894.1414,76,1302.3939,76
!131,887.1668,77,1296.8901,77
!71,885.8402,78,1293.4321,78
!63,874.4207,79,1282.2842,79
!240,870.4113,80,1273.6297,80
!251,865.3383,81,1261.5952,81
!65,842.3439,82,1231.3908,82
!74,833.567,83,1215.6043,84
!48,831.0086,84,1216.7064,83
!190,829.4446,85,1213.4833,85
!120,827.29,86,1207.9876,86
!225,806.599,87,1178.1328,87
!263,801.5406,88,1169.2065,88
!61,789.6492,89,1148.4051,91
!176,789.1756,90,1159.8155,89
!132,788.0952,91,1154.547,90
!339,784.7215,92,1147.2133,92
!125,780.3143,93,1139.7747,93
!234,774.4487,94,1136.0583,94
!311,773.4398,95,1128.5841,95
!133,767.6221,96,1119.8357,96
!145,763.831,97,1111.7597,98
!231,759.5597,98,1112.1636,97
!13,751.5592,99,1101.6905,99
!320,750.6264,100,1094.4934,100
!44,745.6122,101,1090.9717,101
!45,744.0673,102,1083.8054,102
!346,741.4597,103,1081.2741,103
!290,736.3775,104,1074.2675,105
