route_id,speed,bus_count,message_count
1309,-1,0,0
1308,-1,0,0
1307,-1,0,0
1306,-1,0,0
1305,-1,0,0
1304,-1,0,0
1303,-1,0,0
1300,-1,0,0
1299,-1,0,0
1298,-1,0,0
1297,23,1,6
1296,-1,0,0
1295,25,4,32
1294,10,2,8
1293,14,2,21
1292,28,1,9
1291,-1,0,0
1290,-1,0,0
1289,-1,0,0
1288,-1,0,0
1287,-1,0,0
1286,-1,0,0
1285,-1,0,0
1280,19,1,3
1268,-1,0,0
1267,-1,0,0
1266,-1,0,0
1265,-1,0,0
1264,-1,0,0
1263,-1,0,0
1262,-1,0,0
1261,-1,0,0
1260,-1,0,0
1259,-1,0,0
1258,20,1,12
1257,16,1,7
1256,-1,0,0
1255,25,1,4
974,-1,0,0
975,-1,0,0
1132,-1,0,0
1133,27,2,11
1134,33,1,12
1151,-1,0,0
1152,-1,0,0
1153,-1,0,0
1170,-1,0,0
1171,-1,0,0
1213,-1,0,0
1172,-1,0,0
1173,-1,0,0
1178,-1,0,0
1181,-1,0,0
1182,22,1,18
1183,-1,0,0
1184,-1,0,0
1185,-1,0,0
1186,-1,0,0
1187,-1,0,0
1188,-1,0,0
1189,-1,0,0
1192,-1,0,0
1193,-1,0,0
1211,-1,0,0
1212,-1,0,0
1214,-1,0,0
1215,-1,0,0
1216,-1,0,0
1217,24,1,5
1218,22,1,8
1219,22,1,8
1220,-1,0,0
1247,-1,0,0
1248,-1,0,0
1249,-1,0,0
1250,-1,0,0
1251,-1,0,0
1252,23,1,5
1253,27,1,5
1254,23,1,10
1302,23,1,5
1301,-1,0,0
1276,-1,0,0
1246,-1,0,0
1245,-1,0,0
1244,20,1,8
1243,25,1,12
1242,23,1,11
1241,25,1,14
1240,26,1,6
1239,-1,0,0
1238,-1,0,0
1237,-1,0,0
1236,-1,0,0
1235,-1,0,0
1234,-1,0,0
1233,-1,0,0
955,-1,0,0
956,-1,0,0
957,-1,0,0
960,-1,0,0
961,-1,0,0
962,-1,0,0
966,-1,0,0
967,-1,0,0
968,-1,0,0
969,-1,0,0
970,-1,0,0
971,-1,0,0
972,-1,0,0
976,-1,0,0
977,-1,0,0
978,-1,0,0
979,-1,0,0
980,-1,0,0
985,-1,0,0
986,-1,0,0
987,-1,0,0
994,-1,0,0
997,-1,0,0
1000,-1,0,0
1001,-1,0,0
1003,-1,0,0
1052,-1,0,0
1053,18,2,6
1054,23,4,28
1055,-1,0,0
1056,-1,0,0
1057,-1,0,0
1058,-1,0,0
1059,-1,0,0
1060,-1,0,0
1061,-1,0,0
1062,-1,0,0
1063,-1,0,0
1081,36,1,2
1082,-1,0,0
1083,-1,0,0
1089,-1,0,0
1090,-1,0,0
1091,-1,0,0
1098,-1,0,0
1099,-1,0,0
1100,-1,0,0
1101,-1,0,0
1102,-1,0,0
1103,-1,0,0
1104,0,1,20
1105,-1,0,0
1115,-1,0,0
1116,32,1,5
1117,-1,0,0
1118,-1,0,0
1124,-1,0,0
1221,-1,0,0
1222,-1,0,0
1223,-1,0,0
1224,-1,0,0
1225,25,1,9
1226,24,1,11
1227,23,1,10
1228,25,1,10
1229,-1,0,0
1230,16,1,3
1231,14,1,6
1232,-1,0,0
493,31,1,12
494,-1,0,0
495,-1,0,0
496,-1,0,0
839,-1,0,0
840,-1,0,0
841,-1,0,0
842,-1,0,0
843,-1,0,0
844,-1,0,0
845,-1,0,0
846,-1,0,0
847,-1,0,0
848,-1,0,0
850,-1,0,0
851,-1,0,0
852,-1,0,0
853,-1,0,0
854,-1,0,0
856,-1,0,0
857,-1,0,0
858,-1,0,0
859,25,1,1
860,5,1,6
861,-1,0,0
862,-1,0,0
863,-1,0,0
864,-1,0,0
866,-1,0,0
867,-1,0,0
871,-1,0,0
872,-1,0,0
873,-1,0,0
874,-1,0,0
875,-1,0,0
876,-1,0,0
877,20,1,1
878,-1,0,0
879,-1,0,0
880,-1,0,0
881,-1,0,0
882,-1,0,0
883,-1,0,0
884,25,1,4
886,-1,0,0
887,-1,0,0
888,-1,0,0
928,14,1,3
929,22,1,7
930,23,1,7
931,-1,0,0
932,-1,0,0
933,26,2,18
934,28,1,1
935,-1,0,0
936,-1,0,0
937,-1,0,0
938,-1,0,0
939,-1,0,0
940,-1,0,0
941,-1,0,0
942,-1,0,0
943,-1,0,0
944,-1,0,0
945,-1,0,0
