time,segment_id,speed,street,direction,from_street,to_street,length,street_heading,bus_count,message_count,hour,day_of_week,month,record_id,start_latitude,start_longitude,end_latitude,end_longitude,start_location,end_location,comments
2026-04-30T01:10:21.000,1309,-1,Harrison,WB,Canal,Halsted,0.4,W,0,0,1,5,4,1309-202604300610,41.874538,-87.639487,41.874438,-87.647125,"{'type': 'Point', 'coordinates': [-87.639487, 41.874538]}","{'type': 'Point', 'coordinates': [-87.647125, 41.874438]}",
2026-04-30T01:10:21.000,1308,-1,Harrison,EB,Canal,State,0.6,W,0,0,1,5,4,1308-202604300610,41.874238,-87.639487,41.874452,-87.627611,"{'type': 'Point', 'coordinates': [-87.639487, 41.874238]}","{'type': 'Point', 'coordinates': [-87.627611, 41.874452]}",
2026-04-30T01:10:21.000,1307,-1,Clark,SB,Harrison,Roosevelt,0.5,S,0,0,1,5,4,1307-202604300610,41.874521,-87.630774,41.867374,-87.630536,"{'type': 'Point', 'coordinates': [-87.630774, 41.874521]}","{'type': 'Point', 'coordinates': [-87.630536, 41.867374]}",
2026-04-30T01:10:21.000,1306,-1,Clark,NB,Roosevelt,Harrison,0.5,S,0,0,1,5,4,1306-202604300610,41.867374,-87.630336,41.874521,-87.630574,"{'type': 'Point', 'coordinates': [-87.630336, 41.867374]}","{'type': 'Point', 'coordinates': [-87.630574, 41.874521]}",
2026-04-30T01:10:21.000,1305,-1,Harrison,WB,State,Canal,0.6,W,0,0,1,5,4,1305-202604300610,41.874652,-87.627611,41.874538,-87.639487,"{'type': 'Point', 'coordinates': [-87.627611, 41.874652]}","{'type': 'Point', 'coordinates': [-87.639487, 41.874538]}",
2026-04-30T01:10:21.000,1304,-1,Harrison,EB,Halsted,Canal,0.4,W,0,0,1,5,4,1304-202604300610,41.874238,-87.647125,41.874238,-87.639487,"{'type': 'Point', 'coordinates': [-87.647125, 41.874238]}","{'type': 'Point', 'coordinates': [-87.639487, 41.874238]}",
2026-04-30T01:10:21.000,1303,-1,Balbo,WB,LakeShore Dr,Michigan,0.52,E,0,0,1,5,4,1303-202604300610,41.873356,-87.617312,41.873192,-87.627565,"{'type': 'Point', 'coordinates': [-87.617312, 41.873356]}","{'type': 'Point', 'coordinates': [-87.627565, 41.873192]}",
2026-04-30T01:10:21.000,1300,-1,Jackson,EB,Halsted,Wacker,0.54,W,0,0,1,5,4,1300-202604300610,41.877947,-87.647241,41.878077,-87.636914,"{'type': 'Point', 'coordinates': [-87.647241, 41.877947]}","{'type': 'Point', 'coordinates': [-87.636914, 41.878077]}",Oneway EB
2026-04-30T01:10:21.000,1299,-1,LaSalle,SB,Wacker,Jackson,0.6,N,0,0,1,5,4,1299-202604300610,41.886928,-87.632584,41.878134,-87.632357,"{'type': 'Point', 'coordinates': [-87.632584, 41.886928]}","{'type': 'Point', 'coordinates': [-87.632357, 41.878134]}",
2026-04-30T01:10:21.000,1298,-1,LaSalle,NB,Jackson,Wacker,0.6,N,0,0,1,5,4,1298-202604300610,41.878134,-87.632157,41.886928,-87.632384,"{'type': 'Point', 'coordinates': [-87.632157, 41.878134]}","{'type': 'Point', 'coordinates': [-87.632384, 41.886928]}",
