time_step,vehicle_id,route_id,speed,co_emission,co2_emission,nox_emission,fuel_consumption,noise,pos_x,pos_y,lane_id,waiting_time,acceleration
0,route1_veh0,route1,13.49,105.852,8471.533,4.523,3.066,51.452,866.176,601.115,route1_lane0,14.161,-0.234
20,route1_veh0,route1,10.592,126.277,6804.873,2.534,3.542,60.799,291.229,611.853,route1_lane0,2.79,-1.913
40,route1_veh0,route1,9.276,67.631,9698.473,2.774,3.368,64.81,46.45,607.545,route1_lane0,3.41,-1.425
60,route1_veh0,route1,10.198,101.249,6597.44,4.852,3.287,50.86,909.32,258.78,route1_lane0,13.25,-1.058
80,route1_veh0,route1,12.627,51.21,5507.721,3.197,4.038,52.212,195.983,45.227,route1_lane0,6.507,0.171
100,route1_veh0,route1,7.564,88.405,6809.042,4.057,3.644,53.523,802.197,74.551,route1_lane0,19.738,-1.763
120,route1_veh0,route1,9.969,128.35,9046.499,3.931,2.461,71.578,623.298,330.898,route1_lane0,1.271,-0.309
140,route1_veh0,route1,8.681,74.114,8718.789,4.356,3.228,52.99,713.245,760.785,route1_lane0,11.226,1.004
160,route1_veh0,route1,11.893,156.939,3570.382,3.822,3.387,57.859,508.571,907.566,route1_lane0,4.986,-0.299
180,route1_veh0,route1,16.434,94.452,6287.26,2.498,4.215,70.092,186.57,892.559,route1_lane0,10.787,0.329
0,route1_veh1,route1,9.894,100.17,6911.838,1.536,3.596,50.174,510.747,417.411,route1_lane0,4.442,0.261
20,route1_veh1,route1,10.972,85.932,7258.071,3.404,5.186,59.091,971.782,962.447,route1_lane0,5.036,0.175
40,route1_veh1,route1,6.244,109.205,7590.345,5.463,3.108,53.622,489.453,985.65,route1_lane0,4.841,0.302
60,route1_veh1,route1,15.428,132.558,8686.548,2.091,4.703,65.838,535.775,90.29,route1_lane0,16.706,-1.402
80,route1_veh1,route1,9.028,93.011,7649.477,2.497,1.749,66.129,174.366,690.938,route1_lane0,7.735,0.069
100,route1_veh1,route1,9.65,100.338,8720.276,1.769,3.527,63.241,241.852,93.103,route1_lane0,17.944,1.307
120,route1_veh1,route1,12.78,133.455,5644.574,1.68,3.822,72.177,779.876,642.032,route1_lane0,1.683,0.297
140,route1_veh1,route1,12.879,88.569,10298.662,3.474,2.109,67.804,237.249,325.4,route1_lane0,14.93,0.657
160,route1_veh1,route1,14.89,122.383,8733.09,4.897,3.055,56.63,243.99,973.011,route1_lane0,7.862,-0.754
180,route1_veh1,route1,12.83,134.815,7519.503,4.454,3.035,54.881,722.452,280.772,route1_lane0,0.486,2.72
0,route1_veh2,route1,8.787,124.474,7164.806,3.714,3.773,74.09,853.009,294.449,route1_lane0,7.702,-0.073
20,route1_veh2,route1,10.66,135.692,7821.141,1.754,3.473,64.252,97.176,615.007,route1_lane0,19.801,0.385
40,route1_veh2,route1,12.175,75.711,8036.681,3.561,4.383,58.987,293.592,809.361,route1_lane0,16.202,1.054
60,route1_veh2,route1,13.545,225.582,8356.336,4.136,4.254,72.25,337.995,375.583,route1_lane0,1.88,0.651
80,route1_veh2,route1,10.544,112.456,10971.988,1.133,3.986,50.763,37.348,822.601,route1_lane0,7.204,-1.613
100,route1_veh2,route1,12.193,77.668,6427.044,3.68,2.57,51.292,531.355,540.635,route1_lane0,12.749,0.216
120,route1_veh2,route1,5.925,115.594,6507.32,3.852,2.507,50.634,962.648,835.98,route1_lane0,13.919,-0.115
140,route1_veh2,route1,8.399,99.965,6787.582,2.347,5.065,66.505,279.934,954.865,route1_lane0,14.758,0.405
160,route1_veh2,route1,18.366,140.974,5220.945,2.516,4.567,50.36,116.073,46.003,route1_lane0,0.815,-0.708
180,route1_veh2,route1,13.331,133.239,6109.604,2.94,0.059,54.33,433.852,398.505,route1_lane0,12.317,-1.024
0,route1_veh3,route1,10.68,113.922,9661.91,1.564,4.463,66.467,162.934,70.569,route1_lane0,12.848,0.01
20,route1_veh3,route1,12.209,98.441,7670.276,3.662,4.886,61.456,545.617,941.465,route1_lane0,7.722,-1.238
40,route1_veh3,route1,12.843,91.319,7187.817,2.507,2.711,52.954,696.737,628.943,route1_lane0,17.549,0.85
60,route1_veh3,route1,14.439,128.889,6256.507,2.44,4.047,74.763,412.618,372.018,route1_lane0,15.528,0.61
80,route1_veh3,route1,13.641,103.934,7173.478,4.099,4.125,52.578,902.553,505.252,route1_lane0,16.529,0.814
100,route1_veh3,route1,14.046,100.692,7986.25,2.87,3.397,65.796,448.446,293.211,route1_lane0,6.573,0.595
120,route1_veh3,route1,15.474,133.75,8436.18,3.628,3.288,51.439,549.529,441.531,route1_lane0,17.754,-0.897
140,route1_veh3,route1,9.524,100.358,8119.397,2.436,2.478,52.103,700.969,72.763,route1_lane0,16.437,0.244
160,route1_veh3,route1,10.587,116.961,5327.873,1.593,2.582,69.429,558.404,424.222,route1_lane0,18.127,-0.213
180,route1_veh3,route1,11.943,79.924,7472.23,2.711,3.623,68.651,583.369,962.173,route1_lane0,7.497,-0.827
0,route1_veh4,route1,14.07,97.963,7836.139,3.013,3.398,74.233,523.098,629.399,route1_lane0,13.915,-0.773
20,route1_veh4,route1,18.46,86.98,8808.481,3.183,5.49,56.935,188.121,463.698,route1_lane0,7.067,-0.808
40,route1_veh4,route1,9.723,114.512,8012.634,4.876,4.25,67.118,162.617,910.927,route1_lane0,16.451,-0.577
60,route1_veh4,route1,8.039,164.944,9269.16,2.531,1.587,74.248,842.119,838.329,route1_lane0,9.374,1.354
80,route1_veh4,route1,7.217,92.019,7507.866,3.047,2.85,61.264,129.159,954.051,route1_lane0,12.123,0.623
100,route1_veh4,route1,14.135,76.261,5198.829,4.278,3.632,63.008,772.318,520.164,route1_lane0,17.044,-0.748
120,route1_veh4,route1,18.182,162.66,7126.554,3.972,3.945,67.602,212.964,136.371,route1_lane0,0.291,1.369
140,route1_veh4,route1,15.175,57.238,5725.112,0.961,3.031,62.85,783.653,396.543,route1_lane0,12.442,0.718
160,route1_veh4,route1,6.89,108.334,8076.098,2.967,1.233,65.835,240.146,75.863,route1_lane0,2.578,-0.089
180,route1_veh4,route1,13.1,81.804,6729.2,1.941,3.237,66.689,172.32,192.289,route1_lane0,0.817,0.955
0,route1_veh5,route1,10.409,86.214,7339.454,1.965,2.746,62.585,690.395,39.312,route1_lane0,15.988,-1.198
20,route1_veh5,route1,9.901,116.419,7331.508,2.779,3.914,54.613,209.349,370.472,route1_lane0,9.69,0.758
40,route1_veh5,route1,7.454,151.006,9967.452,2.751,3.877,62.792,532.113,107.172,route1_lane0,8.948,0.311
60,route1_veh5,route1,7.181,116.104,6365.474,1.578,2.653,52.994,890.527,593.592,route1_lane0,13.582,-1.082
80,route1_veh5,route1,11.976,154.398,7616.052,2.139,4.823,60.791,127.58,283.776,route1_lane0,7.262,0.539
100,route1_veh5,route1,14.779,167.282,5402.149,3.563,2.649,54.664,285.095,173.374,route1_lane0,17.935,-0.487
120,route1_veh5,route1,12.146,85.071,7905.685,2.95,3.061,74.237,865.507,817.072,route1_lane0,5.158,-0.908
140,route1_veh5,route1,13.503,80.673,7648.998,3.751,1.631,69.237,187.044,323.679,route1_lane0,8.509,0.543
160,route1_veh5,route1,7.117,111.443,7889.584,2.096,3.939,53.859,481.14,532.589,route1_lane0,1.036,-1.662
180,route1_veh5,route1,9.419,98.463,9009.439,2.423,4.136,69.006,595.639,471.576,route1_lane0,8.237,-1.13
0,route1_veh6,route1,13.731,103.909,8056.719,2.396,3.387,64.362,841.829,139.772,route1_lane0,15.905,-0.156
20,route1_veh6,route1,10.537,97.023,8091.678,2.579,3.59,58.971,877.201,392.445,route1_lane0,16.332,2.075
40,route1_veh6,route1,5.886,79.757,4693.812,2.648,3.318,55.805,899.575,383.891,route1_lane0,10.871,1.676
60,route1_veh6,route1,12.707,133.126,5282.121,4.144,3.638,65.502,533.461,893.893,route1_lane0,15.772,-0.415
80,route1_veh6,route1,10.622,84.505,8745.504,2.144,3.372,69.061,876.766,342.082,route1_lane0,16.425,-0.478
100,route1_veh6,route1,11.19,80.637,6833.56,3.377,4.057,68.001,641.148,693.948,route1_lane0,10.854,-0.922
120,route1_veh6,route1,9.679,72.66,4831.92,4.496,3.954,53.834,586.23,505.889,route1_lane0,12.229,-0.056
140,route1_veh6,route1,12.328,131.773,8221.514,3.224,2.51,64.407,606.715,424.131,route1_lane0,14.729,0.471
160,route1_veh6,route1,9.031,106.226,7583.587,4.094,1.608,51.369,335.197,802.853,route1_lane0,0.093,1.53
180,route1_veh6,route1,8.964,60.354,8734.756,3.073,2.01,68.438,452.218,224.605,route1_lane0,9.049,-1.295
0,route1_veh7,route1,11.263,101.818,3454.67,2.946,3.069,64.515,632.264,13.094,route1_lane0,13.271,0.696
20,route1_veh7,route1,11.193,76.804,11360.04,3.059,3.314,55.248,898.054,205.14,route1_lane0,3.814,-0.024
40,route1_veh7,route1,11.902,93.697,6430.731,3.106,3.045,63.11,440.763,400.763,route1_lane0,11.193,1.504
60,route1_veh7,route1,10.972,98.857,5388.732,2.222,2.189,50.635,156.153,715.972,route1_lane0,13.178,1.752
80,route1_veh7,route1,14.165,76.128,6713.22,3.489,2.078,52.486,243.172,722.267,route1_lane0,17.114,0.713
100,route1_veh7,route1,10.917,144.78,5878.405,3.616,3.893,50.325,85.509,207.886,route1_lane0,0.531,-0.31
120,route1_veh7,route1,12.978,72.467,8886.041,2.815,2.777,56.486,379.692,590.295,route1_lane0,5.361,1.049
